Plain Wikipedia Summary	Simple Wikipedia Summary	ID
"Stephen B. King (born July 4, 1941) is an American businessman and political activist serving as the United States Ambassador to the Czech Republic since 2017. A member of the Republican Party, he is the founder of King Capital LLC, an equity investment and real estate company. He previously worked at the Federal Bureau of Investigation (FBI) as an agent and campaigned unsuccessfully in 1988 for his party's nomination for the U.S. Senate in Wisconsin."	"Steve King (born July 4, 1941) is an American businessman and Republican Party activist. He is the founder of King Capital LLC, an equity investment and real estate company. He is a former FBI agent.In 1988, he campaigned unsuccessfully for the Republican U.S. Senate nomination in Wisconsin.In July 2017, President Donald Trump nominated King to be the next United States Ambassador to the Czech Republic. This nomination was confirmed by the U.S. Senate on October 5, 2017."	25
Sharon Day is the United States Ambassador to Costa Rica. She previously served as the co-chairwoman of the Republican National Committee.	"Sharon Day is an American politician. She is the former co-chairwoman of the Republican National Committee.On August 3, 2017, she was confirmed as the next United States Ambassador to Costa Rica. She was nominated by President Donald Trump. She took office on September 25, 2017."	26
"Kelly Dawn Craft (née Guilfoil; born February 24, 1962) is an American diplomat who currently serves as the United States Ambassador to the United Nations. Craft previously served as the United States ambassador to Canada, being the first woman to hold the office. She was appointed by President George W. Bush as a U.S. alternate delegate to the United Nations in 2007, where her focus included U.S. engagement in Africa. She was a delegate to the 2016 Republican National Convention from Kentucky. She headed Kelly G. Knight LLC, a business advisory firm based in Lexington, Kentucky.She was confirmed by the U.S. Senate in a vote of 56-34, and was officially sworn in as the United Nations Ambassador on September 10, 2019. She formally presented her credentials to Secretary-General António Guterres on September 12, 2019."	"Kelly Dawn Knight Craft (née Guilfoil; born February 24, 1962) is an American diplomat. She is the 30th and current United States Ambassador to the United Nations since September 2019. Before, she was the United States ambassador to Canada, the first woman to hold the post.In 2007, she was appointed by President George W. Bush as the U.S. delegate to the United Nations, where her focus included U.S. engagement in Africa. Knight-Craft was a delegate to the 2016 Republican National Convention from Kentucky. She is a member of the University of Kentucky's board of directors. She heads Kelly G. Knight LLC, a business advisory firm based in Lexington, Kentucky."	27
"Douglas Frederick Manchester (born June 3, 1942) is an American businessman and philanthropist. He is the former chairman of Manchester Financial Group, past chairman and publisher of The San Diego Union-Tribune, and an unsuccessful nominee to become United States Ambassador to the Bahamas. Manchester, who prefers to be called ""Papa Doug"", has built some of the tallest hotels and office buildings in San Diego, including the San Diego Marriott Marquis & Marina and the Manchester Grand Hyatt, and is credited as a driving force behind the development of the San Diego Convention Center. Manchester also built the triple 5-star Grand Del Mar Resort & Spa, which was sold to Fairmont Hotels & Resorts in 2015, and he maintains a minority ownership. Manchester also built the Torrey Executive Centre, Manchester Financial Building, Whitetail Lodge and Golf Club, Fairmont Austin and is currently building the Manchester Pacific Gateway.Manchester has long been involved in conservative politics and with the Republican Party. In late 2019, the Republican National Committee cut all ties with Manchester after CBS News obtained emails between Manchester, Ronna McDaniel, and GOP senate staffers in which Manchester appeared to be engaged in a pay-to-play scheme."	"Douglas Frederick ""Doug"" Manchester (born June 3, 1942) is an American businessman and philanthropist. He is the former chairman of Manchester Financial Group, past chairman and publisher of The San Diego Union-Tribune. He is the nominee to become United States Ambassador to the Bahamas.Manchester has built some of the tallest hotels and office buildings in San Diego, including the San Diego Marriott Marquis & Marina and the Manchester Grand Hyatt, and is credited as a driving force behind the development of the San Diego Convention Center. Manchester also built the triple 5-star Grand Del Mar Resort & Spa, which sold to Fairmont Hotels & Resorts in 2015, and he maintains a minority ownership.Manchester built the Torrey Executive Centre, Manchester Financial Building, Whitetail Lodge and Golf Club, and is currently building the Fairmont Austin hotel in Austin, Texas."	28
"John Rodney Bass II (born 1964) is an American diplomat, who served as the United States Ambassador to Afghanistan from 2017 to 2020. He was the U.S. ambassador to Turkey 2014–2017 and the U.S. ambassador to Georgia 2009–2012."	"John R. Bass (born 1964) is an American diplomat. He is the current United States Ambassador to Afghanistan since December 2017. He served as the United States Ambassador to Turkey from 2014 to 2016. He was United States Ambassador to Georgia from 2009 to 2012.President Donald Trump named him as his choice to become the United States Ambassador to Afghanistan on July 20, 2017. On September 28, 2017, his nomination was confirmed by the Senate."	29
"Jeffrey Dean Morgan is an American actor of film and television. He is known for his roles as John Winchester in the fantasy horror series Supernatural (2005–2007; 2019), Denny Duquette in the medical drama series Grey's Anatomy (2006–2009), the Comedian in the superhero film Watchmen (2009), Jason Crouse in the political drama series The Good Wife (2015–2016), Negan in the horror drama series The Walking Dead (2016–present), and Harvey Russell in Rampage (2018)."	"Jeffrey Dean Morgan (born April 22, 1966) is an American actor. He is known for playing John Winchester on Supernatural, Denny Duquette on the medical drama Grey's Anatomy, The Comedian in the 2009 superhero movie Watchmen, Jason Crouse on The Good Wife, and Negan on The Walking Dead. "	30
"Lauren Cohan (born January 7, 1982) is an American–English actress best known for her role as Maggie Greene in the horror television series The Walking Dead (2011–2018, 2020). Her other notable TV roles include Bela Talbot in the fantasy-horror series Supernatural (2007–2008), Rose in the supernatural series The Vampire Diaries (2010–2012), Vivian McArthur Volkoff in the action comedy series Chuck (2007), and  Francesca 'Frankie' Trowbridge in the spy drama Whiskey Cavalier (2019). Her film appearances include the comedy Van Wilder: The Rise of Taj (2006), the psychological thriller horror The Boy (2016), the biographical drama All Eyez on Me (2017), and the action thriller Mile 22 (2018)."	"Lauren Cohan (born January 7, 1982) is a British American actress and model.Cohan best known for her role as Maggie Rhee on The Walking Dead (2011–present). She is also known for her recurring roles on the television series Supernatural (2007–2008), Chuck (2011) and The Vampire Diaries (2010–2012), and in the comedy movie Van Wilder: The Rise of Taj (2006), the psychological thriller The Boy, and for her role in the DC Extended Universe as character Martha Wayne in Batman v Superman: Dawn of Justice (2016)."	31
"Benjamin Berell Ferencz (born March 11, 1920) is an American lawyer. He was an investigator of Nazi war crimes after World War II and the chief prosecutor for the United States Army at the Einsatzgruppen Trial, one of the 12 military trials held by the U.S. authorities at Nuremberg, Germany. Later, he became an advocate of the establishment of an international rule of law and of an International Criminal Court. From 1985 to 1996, he was adjunct professor of international law at Pace University."	"Benjamin Berell Ferencz (born March 11, 1920) is a Romanian-born American lawyer of Hungarian-Jewish descent. He was an investigator of Nazi war crimes after World War II and the Chief Prosecutor for the United States Army at the Einsatzgruppen Trial, one of the twelve military trials held by the U.S. authorities at Nuremberg, Germany."	32
"Benjamin Berell Ferencz (born March 11, 1920) is an American lawyer. He was an investigator of Nazi war crimes after World War II and the chief prosecutor for the United States Army at the Einsatzgruppen Trial, one of the 12 military trials held by the U.S. authorities at Nuremberg, Germany. Later, he became an advocate of the establishment of an international rule of law and of an International Criminal Court. From 1985 to 1996, he was adjunct professor of international law at Pace University."	"Benjamin Berell Ferencz (born March 11, 1920) is a Romanian-born American lawyer of Hungarian-Jewish descent. He was an investigator of Nazi war crimes after World War II and the Chief Prosecutor for the United States Army at the Einsatzgruppen Trial, one of the twelve military trials held by the U.S. authorities at Nuremberg, Germany."	33
"Stanislav Andreyevich Lyubshin (Russian: _________ _________ ______; born 6 April 1933) is a Russian actor, film director, and People's Artist of the RSFSR (1981)."	"Stanislav Andreyevich Lyubshin (Russian: __________ __________ ______; born 6 April 1933) is a Russian actor, screenwriter and movie director. He was awarded the People's Artist of the RSFSR in 1981. His debut movie was Shchit i mech (1968). From 1964 to 1967, he was member of the Taganka Theatre company in Moscow. Since 1981 Lyubshin has been permanent member with the Moscow Art Theatre (MKhAT named after A. Chekhov)."	34
"Eberhard Jäckel (29 June 1929 – 15 August 2017) was a Social Democratic German historian, noted for his studies of Adolf Hitler's role in German history. Jäckel sees Hitler as being the historical equivalent to the Chernobyl disaster."	"Eberhard Jäckel (June 29, 1929 – August 15, 2017) was a Social Democratic German historian. He was known for his studies of Adolf Hitler's role in German history. Jäckel sees Hitler as being the historical equivalent to the Chernobyl disaster."	35
Gueberschwihr (Alemannic German: Gawerschwihr; German: Geberschweier) is a commune in the Haut-Rhin department in Grand Est in north-eastern France.	Gueberschwihr is a commune. It is found in the Haut-Rhin department of eastern France.	36
The Citroën Jumpy (badged Citroën Dispatch in some countries) is a light commercial van produced at Sevel Nord since 1994. The Jumpy was also sold as the Peugeot Expert and Fiat Scudo beginning in 1995.	The Citroën Jumpy (Citroën Dispatch in some countries) is a series of vans and passenger vans produced by Citroën in three generations since 1994. It is builded in cooperation with Fiat and Peugeot.	37
The Citroën Jumpy (badged Citroën Dispatch in some countries) is a light commercial van produced at Sevel Nord since 1994. The Jumpy was also sold as the Peugeot Expert and Fiat Scudo beginning in 1995.	The Citroën Jumpy (Citroën Dispatch in some countries) is a series of vans and passenger vans produced by Citroën in three generations since 1994. It is builded in cooperation with Fiat and Peugeot.	38
The Citroën Jumpy (badged Citroën Dispatch in some countries) is a light commercial van produced at Sevel Nord since 1994. The Jumpy was also sold as the Peugeot Expert and Fiat Scudo beginning in 1995.	The Citroën Jumpy (Citroën Dispatch in some countries) is a series of vans and passenger vans produced by Citroën in three generations since 1994. It is builded in cooperation with Fiat and Peugeot.	39
The Citroën Jumpy (badged Citroën Dispatch in some countries) is a light commercial van produced at Sevel Nord since 1994. The Jumpy was also sold as the Peugeot Expert and Fiat Scudo beginning in 1995.	The Citroën Jumpy (Citroën Dispatch in some countries) is a series of vans and passenger vans produced by Citroën in three generations since 1994. It is builded in cooperation with Fiat and Peugeot.	40
The Citroën Jumpy (badged Citroën Dispatch in some countries) is a light commercial van produced at Sevel Nord since 1994. The Jumpy was also sold as the Peugeot Expert and Fiat Scudo beginning in 1995.	The Citroën Jumpy (Citroën Dispatch in some countries) is a series of vans and passenger vans produced by Citroën in three generations since 1994. It is builded in cooperation with Fiat and Peugeot.	41
The Citroën Jumpy (badged Citroën Dispatch in some countries) is a light commercial van produced at Sevel Nord since 1994. The Jumpy was also sold as the Peugeot Expert and Fiat Scudo beginning in 1995.	The Citroën Jumpy (Citroën Dispatch in some countries) is a series of vans and passenger vans produced by Citroën in three generations since 1994. It is builded in cooperation with Fiat and Peugeot.	42
The Citroën Jumpy (badged Citroën Dispatch in some countries) is a light commercial van produced at Sevel Nord since 1994. The Jumpy was also sold as the Peugeot Expert and Fiat Scudo beginning in 1995.	The Citroën Jumpy (Citroën Dispatch in some countries) is a series of vans and passenger vans produced by Citroën in three generations since 1994. It is builded in cooperation with Fiat and Peugeot.	43
The Citroën Jumpy (badged Citroën Dispatch in some countries) is a light commercial van produced at Sevel Nord since 1994. The Jumpy was also sold as the Peugeot Expert and Fiat Scudo beginning in 1995.	The Citroën Jumpy (Citroën Dispatch in some countries) is a series of vans and passenger vans produced by Citroën in three generations since 1994. It is builded in cooperation with Fiat and Peugeot.	44
The Citroën Jumpy (badged Citroën Dispatch in some countries) is a light commercial van produced at Sevel Nord since 1994. The Jumpy was also sold as the Peugeot Expert and Fiat Scudo beginning in 1995.	The Citroën Jumpy (Citroën Dispatch in some countries) is a series of vans and passenger vans produced by Citroën in three generations since 1994. It is builded in cooperation with Fiat and Peugeot.	45
The Citroën Jumpy (badged Citroën Dispatch in some countries) is a light commercial van produced at Sevel Nord since 1994. The Jumpy was also sold as the Peugeot Expert and Fiat Scudo beginning in 1995.	The Citroën Jumpy (Citroën Dispatch in some countries) is a series of vans and passenger vans produced by Citroën in three generations since 1994. It is builded in cooperation with Fiat and Peugeot.	46
The Citroën Jumpy (badged Citroën Dispatch in some countries) is a light commercial van produced at Sevel Nord since 1994. The Jumpy was also sold as the Peugeot Expert and Fiat Scudo beginning in 1995.	The Citroën Jumpy (Citroën Dispatch in some countries) is a series of vans and passenger vans produced by Citroën in three generations since 1994. It is builded in cooperation with Fiat and Peugeot.	47
The Citroën Jumpy (badged Citroën Dispatch in some countries) is a light commercial van produced at Sevel Nord since 1994. The Jumpy was also sold as the Peugeot Expert and Fiat Scudo beginning in 1995.	The Citroën Jumpy (Citroën Dispatch in some countries) is a series of vans and passenger vans produced by Citroën in three generations since 1994. It is builded in cooperation with Fiat and Peugeot.	48
The Citroën Jumpy (badged Citroën Dispatch in some countries) is a light commercial van produced at Sevel Nord since 1994. The Jumpy was also sold as the Peugeot Expert and Fiat Scudo beginning in 1995.	The Citroën Jumpy (Citroën Dispatch in some countries) is a series of vans and passenger vans produced by Citroën in three generations since 1994. It is builded in cooperation with Fiat and Peugeot.	49
The Citroën Jumpy (badged Citroën Dispatch in some countries) is a light commercial van produced at Sevel Nord since 1994. The Jumpy was also sold as the Peugeot Expert and Fiat Scudo beginning in 1995.	The Citroën Jumpy (Citroën Dispatch in some countries) is a series of vans and passenger vans produced by Citroën in three generations since 1994. It is builded in cooperation with Fiat and Peugeot.	50
"William M. ""Sonny"" Landham (February 11, 1941 – August 17, 2017) was an American film actor and stunt man. He portrayed Billy Bear in 48 Hrs. and tracker Billy Sole in Predator."	"William M. ""Sonny"" Landham (February 11, 1941 – August 17, 2017) was an American actor, stunt man and politician. He played tracker Billy Sole in the action movie Predator.Landham was born in Canton, Georgia. He studied at the University of Georgia."	51
"Krestovsky Stadium, known as Gazprom Arena for sponsorship reasons, (Russian: «_______ _____») is a retractable roof stadium with a retractable pitch in the western portion of Krestovsky Island in Saint Petersburg, Russia, which serves as home for FC Zenit Saint Petersburg. The stadium was opened in 2017 for the FIFA Confederations Cup. It was called Saint Petersburg Stadium during the 2017 FIFA Confederations Cup and 2018 FIFA World Cup."	"The Saint Petersburg Stadium (Russian: _______ _____-_________; also called the Krestovsky Stadium or Zenit Arena) is an association football stadium in Saint Petersburg, Russia. During the  2018 FIFA World Cup, the stadium had a capacity of 64,468 people. The stadium cost $1.1 billion to $1.4 billion.The stadium is now the home of FC Zenit St. Petersburg. It was used for the 2017 FIFA Confederations Cup, 2018 FIFA World Cup, and will be used for the UEFA Euro 2020."	52
